Mitsubishi ASX I,28678,12000,10349,2012
Mercedes-Benz G-Класс II (W463) Рестайлинг 2,57355,24000,20698,2008
Ravon R2 I Optimum ,25212,10550,9098,2019
Ravon R4 I Elegant ,27483,11500,9918,2020
Porsche Cayenne II (958) S,46362,19400,16731,2011
Audi RS 7 I (4G) Рестайлинг,128930,53950,46527,2015
Mercedes-Benz GLA-klasse AMG I (X156) 45 AMG,60940,25500,21991,2014
Audi A6 C5,10515,4400,3795,1999
Audi A4 B6,15534,6500,5606,2003
Lexus RX IV,90573,37900,32685,2016
Acura MDX III Рестайлинг,107541,45000,38808,2019
Kia Sportage III Рестайлинг PREMIUM,37998,15900,13712,2015
Nissan Juke I 4x4,20313,8500,7330,2012
Toyota Prius Prime I ADVANCED,51381,21500,18542,2017
Volkswagen Passat B6 TSI,19835,8300,7158,2009
Seat Leon III ST,25093,10500,9055,2014
"Toyota Corolla X (E140, E150)",12666,5300,4571,2007
Jeep Cherokee V (KL) ,29275,12250,10564,2013
Audi A5 I (8T) ,22701,9499,8192,2009
Porsche Panamera I Diesel ,71455,29900,25786,2012
Renault Megane II ,5972,2499,2155,2002
Peugeot 406 I,3943,1650,1423,1998
Infiniti Q50 I,36564,15300,13195,2015
Subaru Outback II II ,6450,2699,2328,2000
Kia Sorento III GT Line,59743,24999,21559,2017
Peugeot 308 I,12785,5350,4614,2008
Ford Fusion I Рестайлинг,13024,5450,4700,2010
Citroen C4 Grand Picasso I,19596,8200,7072,2008
LADA Vesta I LUKS R AMT sw,24615,10300,8883,2018
Renault Megane II,14339,6000,5174,2004
Mazda Protege II Рестайлинг,6333,2650,2285,2003
Volkswagen Passat B7,33457,14000,12074,2014
Volkswagen Golf VII (Mk7) Alltrack,39432,16500,14230,2017
Mercedes-Benz R-Класс I (W251) Long 3.5i-V6 Maxx Full ,20445,8555,7378,2005
Land Rover Range Rover Sport I Tdv8,23301,9750,8408,2008
Volvo C30 I,15773,6600,5692,2007
Seat Mii I ,18999,7950,6856,2015
Ford B-Max I ,23779,9950,8581,2015
Volkswagen Passat B6,17207,7200,6209,2008
BMW X5 II (E70) ,33338,13950,12031,2007
Citroen Xsara Picasso I,8723,3650,3148,2002
BMW 5 серия IV (E39) Рестайлинг 520i,14339,6000,5174,2001
Opel Astra J Рестайлинг XWFPE8DC1C0024961,22703,9500,8193,2012
Skoda Superb II ,24376,10200,8796,2011
Opel Astra J 1.7d MT 2WD ,15773,6600,5692,2010
Kia Sorento II ,26049,10900,9400,2011
Renault Vel Satis I ,10276,4300,3708,2005
Nissan Qashqai+2 I Рестайлинг SE Top,23779,9950,8581,2010
Audi A5 I (8T) Рестайлинг Sportback quattro 2.0 TFSI R4,58550,24500,21129,2015
Nissan Terrano III (D10) ,21389,8950,7718,2014
